Date,Agence,Produit,Chiffre_Affaires,Nb_Clients,Taux_Satisfaction,Nb_Reclamations
2024-01-01,Paris,Compte Courant,45230.50,52,8.2,2
2024-01-02,Lyon,Épargne,28750.00,38,9.1,1
2024-01-03,Marseille,Crédit Auto,67890.75,61,7.8,4
2024-01-04,Bordeaux,Assurance,19450.25,29,8.5,0
2024-01-05,Paris,Épargne,38920.00,45,9.3,1
2024-01-06,Lyon,Crédit Auto,72340.50,68,7.5,5
2024-01-07,Marseille,Compte Courant,31200.75,41,8.0,2
2024-01-08,Bordeaux,Épargne,24680.00,33,8.8,1
2024-01-09,Paris,Crédit Auto,81250.25,74,7.2,6
2024-01-10,Lyon,Assurance,16780.50,24,9.0,0
